id;Tipo;Tema;"Data Início";"Data Fim";Observação;"ID Responsável";Responsável;"Divulgar Aplicativo";"Divulgar Portal";"Inscrição Portal";CEP;Logradouro;Número;Complemento;Bairro;Cidade;Estado;uuid
74503;RETIRO;"Retiro de Parauapebas";;;;;;Sim;Sim;Não;70340000;SRTVS;209;SALA;"ASA SUL";Brasília;"Distrito Federal";ac8c6967-3ec2-4700-b526-48c547a79656
22588;REUNIÃO;"SISTEMA PROVER";2020-01-01;2020-02-12;IMPLANTAÇÃO;750040;"DIEGO DE FREITAS OLIVEIRA";Sim;Sim;Não;70340000;SRTVS;209;SALA;"ASA SUL";Brasília;"Distrito Federal";0810e7e2-2608-11ec-9fc9-0253d2d61fb9
21962;REUNIÃO;"REUNIÃO GERAL 11/01/2020";2020-01-11;2020-01-11;;756516;"WANDERLEY CLODOALDO LIMA DE FREITAS";Sim;Sim;Não;70340000;SRTVS;209;SALA;"ASA SUL";Brasília;"Distrito Federal";080f0468-2608-11ec-9fc9-0253d2d61fb9
22786;"ENCONTRO DE JOVENS";"ENCONTRO DE JOVENS - FEVEREIRO/2020";2020-02-01;2020-02-01;;756531;"LUCAS DE FREITAS OLIVEIRA";Sim;Sim;Não;71939360;"QUADRA 203 LOTE 10, RESIDENCIAL FLORENCE";10;"SALÃO DE FESTAS 1";"SUL (ÁGUAS CLARAS)";Brasília;"Distrito Federal";08116b60-2608-11ec-9fc9-0253d2d61fb9
22789;"ENCONTROS DIVERSOS";"ENCONTRO CRIANÇAS - 4 A 12 ANOS";2020-02-02;2020-02-02;;0;;Sim;Sim;Não;;;;;;;;081170c8-2608-11ec-9fc9-0253d2d61fb9
22790;"ENCONTRO DE JOVENS";"ENCONTRO DE JOVENS - 13 A 18 ANOS";2020-02-29;2020-02-29;;0;;Sim;Sim;Não;;"QI 11 - CONJ. J";"CASA 2";;"GUARÁ I";Brasília;"Distrito Federal";08117136-2608-11ec-9fc9-0253d2d61fb9
23962;"ENCONTRO DE JOVENS";"ENCONTRO DE JOVENS - DE 13 A 18 ANOS";2020-02-29;2020-02-29;;0;;Sim;Sim;Não;;"QI 11 CONJUNTO ""J""";"CASA 2";"GUARÁ I";GUARÁ;Brasília;"Distrito Federal";08152df9-2608-11ec-9fc9-0253d2d61fb9
23533;"ENCONTROS DIVERSOS";"TEMPO COM OS HOMENS  - A PARTIR DE 13 ANOS (BATIZADOS)";2020-03-21;2020-03-21;"TEMA: SANTIFICAÇÃO";0;;Sim;Sim;Não;;;;;;;;0813bd19-2608-11ec-9fc9-0253d2d61fb9
23534;"ENCONTRO DE JOVENS";"ENCONTRO DE JOVENS - DE 13 A 18 ANOS";2020-03-28;2020-03-28;;0;;Sim;Sim;Não;70390-070;"EAPE - SGAS  - 907 SUL";;EAPE;"ASA SUL";Brasília;"Distrito Federal";0813bd9c-2608-11ec-9fc9-0253d2d61fb9
23543;RETIRO;"ENCONTRO DE PASTORES E LÍDERES DE LOCALIDADES";2020-04-09;2020-04-09;"INFORMAÇÕES E INSCRIÇÃO PELO SITE:  HTTPS://IGREJAVIX.COM.BR/PASTORES/";0;;Sim;Sim;Não;29052123;"AVENIDA JOÃO BAPTISTA PARRA";525;CECATES;"PRAIA DO SUÁ";Vitória;"Espirito Santo";0813c820-2608-11ec-9fc9-0253d2d61fb9
23535;"ENCONTROS DIVERSOS";"ENCONTRO DE PAIS  (FILHOS DE 0 A 5 ANOS)";2020-04-18;2020-04-18;"TEMA: CRIAÇÃO DE FILHOS  (ORIENTAMOS AOS PAIS PARA NÃO LEVAREM OS FILHOS)";756668;"WAGNER DE LIMA OLIVEIRA";Sim;Sim;Não;;"LOCAL A SER DEFINIDO";;;;;;0813be04-2608-11ec-9fc9-0253d2d61fb9
23536;"ENCONTROS DIVERSOS";"ENCONTRO DE PAIS - FILHOS DE 6 A 12 ANOS";2020-04-25;2020-04-25;"TEMPOS COM OS PAIS PARA TRATAR DE CRIAÇÃO DE FILHOS . ORIENTAMOS AOS PAIS PARA NÃO LEVAREM OS FILHOS.";756668;"WAGNER DE LIMA OLIVEIRA";Sim;Sim;Não;;"LOCAL A SER DEFINIDO";;;;Brasília;"Distrito Federal";0813be6e-2608-11ec-9fc9-0253d2d61fb9
23541;"ENCONTROS DIVERSOS";"ENCONTRO DE PAIS - FILHOS DE 13 A 18 ANOS";2020-05-09;2020-05-09;"TEMPOS COM OS PAIS PARA TRATAR DE CRIAÇÃO DE FILHOS . ORIENTAMOS AOS PAIS PARA NÃO LEVAREM OS FILHOS.";756668;"WAGNER DE LIMA OLIVEIRA";Sim;Sim;Não;;"LOCAL A SER DEFINIDO";;;;Brasília;"Distrito Federal";0813c4f4-2608-11ec-9fc9-0253d2d61fb9
23542;RETIRO;"ENCONTRO DE MULHERES 2020   -   30-OUT A 02-NOV";2020-10-30;2020-10-30;"BREVE ENVIAREMOS MAIS INFORMAÇÕES";0;;Sim;Sim;Não;;;;;;;;0813c567-2608-11ec-9fc9-0253d2d61fb9
52773;RETIRO;"RETIRO DE FAMÍLIA 2023";2023-09-29;2023-10-01;;;;Sim;Sim;Sim;71686650;"DF 140 - Rodovia Diogo Machado - km 3  - Setor Habitacional Tororó, ";;"Próximo ao Condominio Monaco";"Setor Habitacional Jardim Botânico";Brasília;"Distrito Federal";1999ddbe-d473-4e5c-bca0-cb3cf5a7d1a3
71106;"ENCONTROS DIVERSOS";"ENCONTRO GERAL ";2024-11-02;2024-11-02;;;;Sim;Sim;Não;70340000;SRTVS;209;SALA;"ASA SUL";Brasília;"Distrito Federal";7391bc00-3e01-46ec-b199-beefe6c35901
